Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Acerana,2001,China,"Xishuangbann, Yunnan Prov.",Vietnam,24.16863,103.84371,Year: 2001 Ref: Zhou et al. (2004)
Vdestructor,Acerana,2002,China,"Xishuanbanna, Yunnan Prov.",Vietnam,25.1014,102.35185,"Year: 2002 Ref: Navajas et al. (2010), Zhou et al. (2004)"
Vdestructor,Acerana,2001,Thailand,"Chiang San, Chiang Rai",Vietnam,20.2666667,100,Year: 2001 Ref: Warrit et al. (2006)
Vdestructor,Acerana,2001,Thailand,"Mae Sruy, Chiang Rai",Vietnam,19.5833333,99.46666667,Year: 2001 Ref: Warrit et al. (2006)
Vdestructor,Acerana,2001,Thailand,"Mueang, Chiang Rai",Vietnam,20,99.95,Year: 2001 Ref: Warrit et al. (2006)
Vdestructor,Acerana,2013,Vietnam,Dien Bien,Vietnam,21.23,103.01,Year: 2013 Ref: Beaurepaire et al. (2015)
Vdestructor,Acerana,2013,Vietnam,Son La,Vietnam,21.19,103.54,Year: 2013 Ref: Beaurepaire et al. (2015)
Vdestructor,Amellifera,1990; 1993,Brazil,several towns in Rio de Janeiro,Japan,-22.90684,-43.17289,Year: 1990; 1993 Ref: de Guzman et al. (1997)
Vdestructor,Amellifera,2009?; 2013-2015,Brazil,Fernando de Noronha Island,Japan,-3.847409,-32.414635,"Year: 2009?; 2013-2015 Ref: Guerra et al. (2010), Strapazzon et al. (2009), Octaviano-Salvade et al. (2017)"
Vdestructor,Amellifera,1997,Thailand,Chiang Mai,Japan,18.80596,98.95336,Year: 1997 Ref: Navajas et al. (2010)
Vdestructor,Amellifera,2002; 2005?,Taiwan,Taichung,Japan,24.15222,120.68366,"Year: 2002; 2005? Ref: Navajas et al. (2010), Solignac et al. (2005)"
Vdestructor,Amellifera,1998?,United States,"California, Santa Cruz island",Japan,34.0232,-119.76576,Year: 1998? Ref: de Guzman et al. (1999)
Vdestructor,Amellifera,2006-2009,Argentina,Santa Cruz,Korea,-51.63528,-69.24743,Year: 2006-2009 Ref: Maggi et al. (2012)
Vdestructor,Amellifera,2006-2009,Argentina,Rio Negro,Korea,-40.82614,-63.02663,Year: 2006-2009 Ref: Maggi et al. (2012)
Vdestructor,Amellifera,2006-2009,Argentina,Neuquen,Korea,-38.95167,-68.05918,Year: 2006-2009 Ref: Maggi et al. (2012)
Vdestructor,Amellifera,2005?; 2016,New Zealand,Auckland,Korea,-36.883266,174.849133,"Year: 2005?; 2016 Ref: Solignac et al. (2005), Li et al. (2018)"
Vdestructor,Amellifera,"2005?, 2006-2009",Argentina,Buenos Aires,Korea,-34.599126,-58.373067,"Year: 2005?, 2006-2009 Ref: Solignac et al. (2005), Maggi et al. (2012)"
Vdestructor,Amellifera,1998,South Africa,Stellenbosch,Korea,-33.933496,18.864089,Year: 1998 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,2005?,Chile,Santiago,Korea,-33.449608,-70.680169,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2006-2009,Argentina,Entre Rios,Korea,-31.77466,-60.49564,Year: 2006-2009 Ref: Maggi et al. (2012)
Vdestructor,Amellifera,2001,Brazil,"Estrela, Rio Grande do Sul State",Korea,-29.487,-51.95433,Year: 2001 Ref: Garrido et al. (2003)
Vdestructor,Amellifera,2009?,Brazil,"Sao Joaquim, Santa Catarina",Korea,-28.29245,-49.93758,Year: 2009? Ref: Strapazzon et al. (2009)
Vdestructor,Amellifera,2001,Brazil,"Florianopolis, Santa Catarina",Korea,-27.59486,-48.54821,Year: 2001 Ref: Garrido et al. (2003)
Vdestructor,Amellifera,2006-2009,Argentina,Corrientes,Korea,-27.46921,-58.83063,Year: 2006-2009 Ref: Maggi et al. (2012)
Vdestructor,Amellifera,2009?,Brazil,"Blumenau, Santa Catarina",Korea,-26.91657,-49.07173,Year: 2009? Ref: Strapazzon et al. (2009)
Vdestructor,Amellifera,2009?,Brazil,"Cacador, Santa Catarina",Korea,-26.77616,-51.01249,Year: 2009? Ref: Strapazzon et al. (2009)
Vdestructor,Amellifera,2009?,Brazil,"Joinville, Santa Catarina",Korea,-26.28342,-48.84522,Year: 2009? Ref: Strapazzon et al. (2009)
