Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. mellifera,2001,Brazil,"Florianopolis, Santa Catarina",VD_Korea_K1,VD_K_type,-27.59486,-48.54821,approximate,Year:2001 Ref:Garrido et al. (2003),Litterature
V. destructor,A. mellifera,2009?,Brazil,"Joinville, Santa Catarina",VD_Korea_K1,VD_K_type,-26.28342,-48.84522,approximate,Year:2009? Ref:Strapazzon et al. (2009),Litterature
V. destructor,A. mellifera,2009?,Brazil,"Mafra, Santa Catarina",VD_Korea_K1,VD_K_type,-26.11642,-49.8091,approximate,Year:2009? Ref:Strapazzon et al. (2009),Litterature
V. destructor,A. mellifera,1996,Brazil,"Ribeirão Preto, Sao Paulo State",VD_Japan_J1,VD_Japan_J1,-21.1704,-47.81032,approximate,Year:1996 Ref:Garrido et al. (2003),Litterature
V. destructor,A. mellifera,1996,Brazil,"Ribeirão Preto, Sao Paulo State",VD_Korea_K1,VD_K_type,-21.1704,-47.81032,approximate,Year:1996 Ref:Garrido et al. (2003),Litterature
V. destructor,A. mellifera,1996,Brazil,"Ribeirão Preto, Sao Paulo State",COMBINED,KoreaJapan,-21.1704,-47.81032,approximate,Year:1996 Ref:Garrido et al. (2003),
V. destructor,A. mellifera,2001,Brazil,"Ribeirão Preto, Sao Paulo State",VD_Korea_K1,VD_K_type,-21.1704,-47.81032,approximate,Year:2001 Ref:Garrido et al. (2003),Litterature
V. destructor,A. mellifera,2009?,Brazil,"Sao Joaquim, Santa Catarina",VD_Korea_K1,VD_K_type,-28.29245,-49.93758,approximate,Year:2009? Ref:Strapazzon et al. (2009),Litterature
V. destructor,A. mellifera,2009?,Brazil,São Paulo,VD_Korea_K1,VD_K_type,-21.171509,-47.847355,approximate,Year:2009? Ref:Guerra et al. (2010),Litterature
V. destructor,A. mellifera,1989;1993;1997,Brazil,"Sao, Paulo",VD_Japan_J1,VD_Japan_J1,-23.561864,-46.73233,approximate,Year:1989;1993;1997 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. mellifera,1997,Brazil,"Sao, Paulo",VD_Korea_K1,VD_K_type,-23.561864,-46.73233,approximate,Year:1997 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. mellifera,1989;1993;1997,Brazil,"Sao, Paulo",COMBINED,KoreaJapan,-23.561864,-46.73233,approximate,Year:1989;1993;1997 Ref:Anderson and Trueman (2000),
V. destructor,A. mellifera,1990;1993,Brazil,several towns in Rio de Janeiro,VD_Japan_J1,VD_Japan_J1,-22.90684,-43.17289,approximate,Year:1990;1993 Ref:de Guzman et al. (1997),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Azom,VD_Korea_K1,VD_K_type,3.67631,11.45515,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Bamenda-Nkwe,VD_Korea_K1,VD_K_type,5.93303,10.2083,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Bamenyam,VD_Korea_K1,VD_K_type,5.77412,10.31653,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Batouri,VD_Korea_K1,VD_K_type,4.42582,14.35288,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Belo,VD_Korea_K1,VD_K_type,6.18002,10.33402,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Bertoua1,VD_Korea_K1,VD_K_type,4.58325,13.68123,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Bertoua2,VD_Korea_K1,VD_K_type,4.56307,13.7018,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Bomaka,VD_Korea_K1,VD_K_type,4.14539,9.31357,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Buea,VD_Korea_K1,VD_K_type,4.15185,9.29668,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Ekuijua,VD_Korea_K1,VD_K_type,6.33059,10.29085,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kaigama,VD_Korea_K1,VD_K_type,4.4583,13.62112,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kumbo,VD_Korea_K1,VD_K_type,6.20112,10.69774,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kumbo1,VD_Korea_K1,VD_K_type,6.2232,10.68106,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Kumbo2,VD_Korea_K1,VD_K_type,6.20772,10.69884,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Laikom,VD_Korea_K1,VD_K_type,6.28586,10.34344,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Meveo,VD_Korea_K1,VD_K_type,4.11218,9.23868,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Ngaoundere,VD_Korea_K1,VD_K_type,7.33814,13.56683,approximate,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Ngolemakon,VD_Korea_K1,VD_K_type,3.08313,11.42539,approximate,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Njinikijim,VD_Korea_K1,VD_K_type,6.1576,10.34155,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Oku,VD_Korea_K1,VD_K_type,6.24181,10.5317,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Tombel1,VD_Korea_K1,VD_K_type,4.74998,9.66188,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,2016?,Cameroon,Tombel2,VD_Korea_K1,VD_K_type,4.75303,9.67373,exact,Year:2016? Ref:Cham et al. (2017),Litterature
V. destructor,A. mellifera,1998?,Canada,British Columbia,VD_Korea_K1,VD_K_type,49.260199,-123.245964,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Nova Scotia,VD_Japan_J1,VD_Japan_J1,44.68198,-63.74431,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Nova Scotia,VD_Korea_K1,VD_K_type,44.68198,-63.74431,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Nova Scotia,COMBINED,KoreaJapan,44.68198,-63.74431,approximate,Year:1998? Ref:de Guzman et al. (1999),
V. destructor,A. mellifera,1998?,Canada,Ontario,VD_Japan_J1,VD_Japan_J1,43.945787,-78.8969,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Ontario,VD_Korea_K1,VD_K_type,43.945787,-78.8969,approximate,Year:1998? Ref:de Guzman et al. (1999),Litterature
V. destructor,A. mellifera,1998?,Canada,Ontario,COMBINED,KoreaJapan,43.945787,-78.8969,approximate,Year:1998? Ref:de Guzman et al. (1999),
V. destructor,A. mellifera,2005?,Chile,Futrono 1,VD_Japan_J1,VD_Japan_J1,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 1,VD_Korea_K1,VD_K_type,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 1,COMBINED,KoreaJapan,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2005?,Chile,Futrono 2,VD_Japan_J1,VD_Japan_J1,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 2,VD_Korea_K1,VD_K_type,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 3,VD_Japan_J1,VD_Japan_J1,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,Futrono 3,VD_Korea_K1,VD_K_type,-40.12454,-72.38084,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,La Union,COMBINED,KoreaJapan,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),
V. destructor,A. mellifera,2005?,Chile,La Union 1,VD_Korea_K1,VD_K_type,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,La Union 2,VD_Japan_J1,VD_Japan_J1,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
V. destructor,A. mellifera,2005?,Chile,La Union 2,VD_Korea_K1,VD_K_type,-40.295596,-73.080017,approximate,Year:2005? Ref:Solignac et al. (2005),Litterature
