Species,Host,Year,Location,Haplogroup,GROUP,Description
V. destructor,A. mellifera,1992,Serbia,VD_Korea_K1,VD_K_type,Year:1992 Ref:Gajic et al. (2013)
V. destructor,A. mellifera,2000,Serbia,VD_Korea_K1,VD_K_type,Year:2000 Ref:Gajic et al. (2013)
V. destructor,A. mellifera,2001,Serbia,VD_Korea_K1,VD_K_type,Year:2001 Ref:Gajic et al. (2013)
V. destructor,A. mellifera,2011,Serbia,VD_Korea_K1,VD_K_type,Year:2011 Ref:Gajic et al. (2013)
V. destructor,A. mellifera,2012,Serbia,VD_Korea_K1/Serbia1,VD_K_type,Year:2012 Ref:Gajic et al. (2019)
V. destructor,A. mellifera,1992,Serbia,VD_Serbia_1,VD_K_type,Year:1992 Ref:Gajic et al. (2013)
V. destructor,A. mellifera,2011,Serbia,VD_Serbia_1,VD_K_type,Year:2011 Ref:Gajic et al. (2013)
V. destructor,Apis mellifera,NA,Serbia,VD_Korea_K1,VD_K_type,Year: NA Accession: JX970939
V. destructor,Apis mellifera,NA,Serbia,VD_Serbia_1,VD_K_type,Year: NA Accession: JX970938
V. jacobsoni,A. mellifera,2009,Solomon Islands,VJ_Java_1,VJ_Java_1,Year:2009 Ref:Roberts et al. (2015)
V. destructor,A. mellifera,1998,South Africa,VD_Korea_K1,VD_K_type,Year:1998 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2005?,South Africa,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,Apis mellifera,NA,South Korea,VD_Korea_K1,VD_K_type,Year: NA Accession: GQ379056
V. destructor,NA,NA,South Korea,VD_Korea_K1,VD_K_type,Year: NA Accession: AF106899
V. destructor,NA,NA,South Korea,VD_Korea_K3,VD_K_type,Year: NA Accession: MH712741
V. destructor,A. mellifera,2001,Spain,VD_Japan_J1,VD_Japan_J1,Year:2001 Ref:Munoz et al. (2008)
V. destructor,A. mellifera,2001,Spain,VD_Korea_K1,VD_K_type,Year:2001 Ref:Munoz et al. (2008)
V. destructor,A. mellifera,2006-2007,Spain,VD_Korea_K1,VD_K_type,Year:2006-2007 Ref:Munoz et al. (2008)
V. destructor,A. mellifera,1991,Spain,VD_Korea_K1,VD_K_type,Year:1991 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1992,Spain,VD_Korea_K1,VD_K_type,Year:1992 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,NA,Spain,COMBINED,KoreaJapan,NA
V. destructor,A. cerana,1997,Sri Lanka,VD_Sri_Lanka_1,VD_Sri_Lanka_1,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,NA,NA,Sri Lanka,VD_Sri_Lanka_1,VD_Sri_Lanka_1,Year: NA Accession: AF106896
V. destructor,A. mellifera,1997,Switzerland,VD_Korea_K1,VD_K_type,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,Apis mellifera,2014,Syrian Arab Republic,VD_Korea_K1,VD_K_type,Year: 2014 Accession: LN873222
V. destructor,Apis mellifera,2014,Syrian Arab Republic,VD_Syria_AlQ5,VD_K_type,Year: 2014 Accession: LN873226
V. destructor,A. mellifera,2014,Syrian Arab Republic,VD_Korea_K1,VD_K_type,Year:2014 Ref:Elbeaino et al. (2016)
V. destructor,A. mellifera,2014,Syrian Arab Republic,VD_Syria_AlQ5,VD_K_type,Year:2014 Ref:Elbeaino et al. (2016)
V. destructor,A. mellifera,2002,Taiwan,VD_Japan_J1,VD_Japan_J1,Year:2002 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,2005?,Taiwan,VD_Japan_J1,VD_Japan_J1,Year:2005? Ref:Solignac et al. (2005)
V. destructor,Apis mellifera,NA,Taiwan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: GQ379069
V. destructor,NA,NA,Taiwan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: AJ784872
V. destructor,A. cerana,2013-2015,Thailand,VD_China_C2-like,VD_China_C2,Year:2013-2015 Ref:Dietemann et al. (2019)
V. destructor,A. cerana,1997,Thailand,VD_Japan_J1,VD_Japan_J1,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,A. cerana,2013-2015,Thailand,VD_Chiang_Mai_1,VD_K_type,Year:2013-2015 Ref:Dietemann et al. (2019)
V. destructor,A. cerana,2003,Thailand,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:2003 Ref:Navajas et al. (2010)
V. destructor,A. cerana,2001,Thailand,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:2001 Ref:Warrit et al. (2006)
V. jacobsoni,A. cerana,NA,Thailand,VJ_Laos_L1,VJ_Laos_L1,Year:NA Ref:Navajas et al. (2010)
V. jacobsoni,A. cerana,2001,Thailand,VJ_Malaysia_1,VJ_Malaysia_1,Year:2001 Ref:Warrit et al. (2006)
V. jacobsoni,A. cerana,2013-2015,Thailand,VJ_Malaysia_2,VJ_Malaysia_2,Year:2013-2015 Ref:Dietemann et al. (2019)
V. jacobsoni,A. cerana,2001,Thailand,VJ_North_Thailand_1,VJ_North_Thailand_1,Year:2001 Ref:Warrit et al. (2006)
V. jacobsoni,A. cerana,2001,Thailand,VJ_North_Thailand_2,VJ_North_Thailand_2,Year:2001 Ref:Warrit et al. (2006)
V. jacobsoni,A. cerana,2013-2015,Thailand,VJ_North_Thailand_3,VJ_North_Thailand_3,Year:2013-2015 Ref:Dietemann et al. (2019)
V. jacobsoni,A. cerana,2001,Thailand,VJ_Samui_1,VJ_Samui_1,Year:2001 Ref:Warrit et al. (2006)
V. jacobsoni,A. cerana,2013-2015,Thailand,VJ_Samui_2,VJ_Samui_2,Year:2013-2015 Ref:Dietemann et al. (2019)
V. destructor,A. mellifera,1997,Thailand,VD_Japan_J1,VD_Japan_J1,Year:1997 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,1992;1996,Thailand,VD_Japan_J1,VD_Japan_J1,Year:1992;1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2016,Thailand,VD_Korea_K1,VD_K_type,Year:2016 Ref:Pakwan et al. (2017)
V. destructor,A. mellifera,2013-2015,Thailand,VD_Korea_K1,VD_K_type,Year:2013-2015 Ref:Dietemann et al. (2019)
V. destructor,A. mellifera,1992;1996,Thailand,VD_Korea_K1,VD_K_type,Year:1992;1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2016?,Thailand,VD_Korea_K1,VD_K_type,Year:2016? Ref:Page et al. (2016)
V. destructor,A. mellifera,NA,Thailand,VD_Korea_K1-like,VD_K_type,"Year:NA Ref:Buawangpong,N., Titayavan,M. and Burgett,M."
V. jacobsoni,A. mellifera,2013-2015,Thailand,VJ_North_Thailand_3,VJ_North_Thailand_3,Year:2013-2015 Ref:Dietemann et al. (2019)
V. destructor,A. mellifera,NA,Thailand,COMBINED,KoreaJapan,NA
V. destructor,Apis cerana,2014,Thailand,VD_China_C2-like,VD_China_C2,Year: 2014 Accession: MN179654
V. destructor,Apis cerana,2014,Thailand,VD_Chiang_Mai_1,VD_K_type,Year: 2014 Accession: MN179652
V. destructor,Apis cerana,NA,Thailand,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: NA Accession: GQ379063
V. destructor,Apis cerana,NA,Thailand,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: NA Accession: GQ379064
V. jacobsoni,Apis cerana,2015,Thailand,VJ_Malaysia_2,VJ_Malaysia_2,Year: 2015 Accession: MN179653
V. jacobsoni,Apis cerana,2014,Thailand,VJ_North_Thailand_3,VJ_North_Thailand_3,Year: 2014 Accession: MN179651
V. jacobsoni,Apis cerana,2014,Thailand,VJ_Samui_2,VJ_Samui_2,Year: 2014 Accession: MN179649
V. destructor,Apis mellifera,NA,Thailand,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: GQ379073
V. destructor,Apis mellifera,2014,Thailand,VD_Korea_K1,VD_K_type,Year: 2014 Accession: MN179648
V. destructor,Apis mellifera,NA,Thailand,VD_Korea_K1-like,VD_K_type,Year: NA Accession: MF667973
V. destructor,Apis mellifera,NA,Thailand,VD_Korea_K1-like,VD_K_type,Year: NA Accession: MF667974
V. destructor,Apis mellifera,NA,Thailand,VD_Korea_K1-like,VD_K_type,Year: NA Accession: MF667975
V. destructor,Apis mellifera,NA,Thailand,VD_Korea_K1-like,VD_K_type,Year: NA Accession: MF667976
V. jacobsoni,Apis mellifera,2013,Thailand,VJ_North_Thailand_3,VJ_North_Thailand_3,Year: 2013 Accession: MN179650
V. jacobsoni,NA,NA,Thailand,VJ_Laos_L1,VJ_Laos_L1,Year: NA Accession: GQ387678
V. jacobsoni,NA,NA,Thailand,VJ_Laos_L1,VJ_Laos_L1,Year: NA Accession: GQ387679
V. jacobsoni,NA,2001,Thailand,VJ_North_Thailand_1,VJ_North_Thailand_1,Year: 2001 Accession: DQ061189
V. jacobsoni,NA,2001,Thailand,VJ_North_Thailand_2,VJ_North_Thailand_2,Year: 2001 Accession: DQ061190
V. jacobsoni,NA,2001,Thailand,VJ_Samui_1,VJ_Samui_1,Year: 2001 Accession: DQ061188
V. destructor,A. mellifera,2004?,Turkey,VD_Korea_K1,VD_K_type,Year:2004? Ref:Warrit et al. (2004)
V. destructor,A. mellifera,2014-2015,Turkey,VD_Korea_K1,VD_K_type,Year:2014-2015 Ref:Ayan and Aldemir (2018)
V. destructor,A. mellifera,2017?,Turkey,VD_Korea_K1,VD_K_type,Year:2017? Ref:Ayan et al. (2017)
V. destructor,A. mellifera,1997,Ukraine,VD_Korea_K1,VD_K_type,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1997,United Kingdom,VD_Korea_K1,VD_K_type,Year:1997 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2005?,United Kingdom,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,2009,United Republic of Tanzania,VD_Korea_K1,VD_K_type,Year:2009 Ref:Fazier et al. (2010)
V. destructor,A. mellifera,1998?,United States,VD_Japan_J1,VD_Japan_J1,Year:1998? Ref:de Guzman et al. (1999)
V. destructor,A. mellifera,2005?,United States,VD_Japan_J1,VD_Japan_J1,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1990;1997;1998,United States,VD_Japan_J1,VD_Japan_J1,Year:1990;1997;1998 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1994-1996,United States,VD_Korea_K1,VD_K_type,Year:1994-1996 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,1998?,United States,VD_Korea_K1,VD_K_type,Year:1998? Ref:de Guzman et al. (1999)
V. destructor,A. mellifera,2005?,United States,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1997;1998,United States,VD_Korea_K1,VD_K_type,Year:1997;1998 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,NA,United States,COMBINED,KoreaJapan,NA
V. destructor,A. mellifera,1994,Uruguay,VD_Korea_K1,VD_K_type,Year:1994 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2009?,Uruguay,VD_Korea_K1,VD_K_type,Year:2009? Ref:Guerra et al. (2010)
V. destructor,A. mellifera,2009?,Venezuela,VD_Korea_K1,VD_K_type,Year:2009? Ref:Guerra et al. (2010)
V. destructor,A. cerana,2013,Viet Nam,VD_China_C1,VD_China_C1,Year:2013 Ref:Beaurepaire et al. (2015)
V. destructor,A. cerana,1999?,Viet Nam,VD_Korea_K1,VD_K_type,Year:1999? Ref:Fuchs et al. (2000) 
V. destructor,A. cerana,1996,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,A. cerana,1996,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:1996 Ref:Navajas et al. (2010)
V. destructor,A. cerana,1999?,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:1999? Ref:Fuchs et al. (2000) 
V. destructor,A. cerana,2013,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:2013 Ref:Beaurepaire et al. (2015)
V. destructor,A. mellifera,1996,Viet Nam,VD_Korea_K1,VD_K_type,Year:1996 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,1999?,Viet Nam,VD_Korea_K1,VD_K_type,Year:1999? Ref:Fuchs et al. (2000) 
V. destructor,A. mellifera,1996,Viet Nam,VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2013,Viet Nam,VD_Korea_K1,VD_K_type,Year:2013 Ref:Beaurepaire et al. (2015)
V. destructor,A. mellifera,1999?,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year:1999? Ref:Fuchs et al. (2000) 
V. destructor,Apis cerana,2013,Viet Nam,VD_China_C1,VD_China_C1,Year: 2013 Accession: KR528378
V. destructor,Apis cerana,NA,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: NA Accession: GQ379061
V. destructor,Apis cerana,2013,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: 2013 Accession: KR528382
V. destructor,Apis cerana,2013,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: 2013 Accession: KR528383
V. destructor,Apis cerana,2013,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: 2013 Accession: KR528379
V. destructor,Apis cerana,2013,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: 2013 Accession: KR528380
V. jacobsoni,Apis cerana,2001,Viet Nam,VJ_Laos_L1/North-Thailand3,VJ_Laos_L1,Year: 2001 Accession: MH449980
V. destructor,Apis mellifera,NA,Viet Nam,VD_Korea_K1,VD_K_type,Year: NA Accession: GQ379058
V. destructor,Apis mellifera,2013,Viet Nam,VD_Korea_K1,VD_K_type,Year: 2013 Accession: KR528384
V. destructor,Apis mellifera,2013,Viet Nam,VD_Korea_K1,VD_K_type,Year: 2013 Accession: KR528381
V. destructor,NA,NA,Viet Nam,VD_Viet_Nam_V1,VD_Viet_Nam_V1,Year: NA Accession: AF106901
V. destructor,A. mellifera,1996,Yugoslavia,VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
