Species,Host,Year,Location,Haplogroup,GROUP,Description
V. destructor,NA,NA,India,VD_Saudi_Arabia_3,VD_K_type,"Year:NA Ref:Gupta,V.K., Kaur,R., Kaur,H. and Chhuneja,P.K."
V. destructor,NA,NA,India,VD_Saudi_Arabia_4,VD_K_type,"Year:NA Ref:Gupta,V.K., Kaur,R., Kaur,H. and Chhuneja,P.K."
V. jacobsoni,A. cerana,1997,Indonesia,VJ_Ambon_1,VJ_Ambon_1,Year:1997 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1998,Indonesia,VJ_Bali_1,VJ_Bali_1,Year:1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1998,Indonesia,VJ_Flores_1,VJ_Flores_1,Year:1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1991,Indonesia,VJ_Java_1,VJ_Java_1,Year:1991 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1994,Indonesia,VJ_Java_1,VJ_Java_1,Year:1994 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1995,Indonesia,VJ_Java_1,VJ_Java_1,Year:1995 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1996,Indonesia,VJ_Java_1,VJ_Java_1,Year:1996 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1997,Indonesia,VJ_Java_1,VJ_Java_1,Year:1997 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1997,Indonesia,VJ_Java_1,VJ_Java_1,Year:1997 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1998,Indonesia,VJ_Java_1,VJ_Java_1,Year:1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1991;1995,Indonesia,VJ_Java_1,VJ_Java_1,Year:1991;1995 Ref:Anderson and Fuchs (1998)
V. jacobsoni,A. cerana,1991;1995;1996;1998,Indonesia,VJ_Java_1,VJ_Java_1,Year:1991;1995;1996;1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1995;1996;1997,Indonesia,VJ_Java_1,VJ_Java_1,Year:1995;1996;1997 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1995;1996;1997;1998,Indonesia,VJ_Java_1,VJ_Java_1,Year:1995;1996;1997;1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1996;1998,Indonesia,VJ_Java_1,VJ_Java_1,Year:1996;1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1998,Indonesia,VJ_Lombok_1,VJ_Lombok_1,Year:1998 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1997,Indonesia,VJ_Sumatra_1,VJ_Sumatra_1,Year:1997 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. cerana,1998,Indonesia,VJ_Sumbawa_1,VJ_Sumbawa_1,Year:1998 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1994,Indonesia,VD_Korea_K1,VD_K_type,Year:1994 Ref:Anderson and Fuchs (1998)
V. destructor,A. mellifera,1995,Indonesia,VD_Korea_K1,VD_K_type,Year:1995 Ref:Anderson and Fuchs (1998)
V. destructor,A. mellifera,1996,Indonesia,VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Fuchs (1998)
